foodcomponent,synthetic_price_nok
flatbread,27
flax,51
flaxseed,41
flour,3
flourt,3
frommilk,7
fruit,19
fruitjuice,27
fruitpectin,18
fruitpuree,28
fruity,24
garlic,25
garlicpowder,16
ghee,44
ginger,9
gingerbread,15
glicenna,25
glicerina,17
glicerol,27
glicerolo,15
goat,13
goose,30
gooseberrie,20
gooseberry,28
graham,77
grape,24
grapefruit,18
grapeseed,3
groat,13
groundnut,27
ham,74
hapopiest,17
happiest,26
havssalt,1
hazeinut,17
hazelnut,35
hazelnutpaste,46
hazelonut,16
hazeunut,26
hazlenut,20
hemicellulase,9
herb,17
herbe,25
hexanoate,14
hjorthornssalt,1
honey,34
honeycomb,32
ice,20
icewine,27
ifruit,22
inulintmilk,7
invertsugar,1
iodate,7
iodated,7
isugar,1
jackcheese,25
jackfruit,24
jellybean,29
jodated,26
juice,20
kalamataoliven,26
kale,12
kefir,8
kerneloil,18
ketchup,22
keylime,24
kiwi,18
krispie,27
lactea,28
lamb,64
lard,13
leaf,24
leek,15
leicestershire,1
lemon,16
lemonade,13
lemongrass,15
lentil,20
lettuce,21
licorice,13
lime,18
limetti,23
lingonberry,16
liquorice,13
lithothamnium,79
lobster,84
lodate,12
macadamia,89
maize,12
mango,23
mangoe,17
mangosteen,28
maroille,18
masinsalt,1
mayonnaise,25
melon,15
milk,5
milkchocolate,10
milkeat,11
milkfat,10
milkingredient,11
milkpowder,8
millet,8
mixberry,24
molassesi,21
molybdate,5
monkfruit,24
monoestearate,18
mononitarte,26
monostearate,21
monostearte,30
monstearate,22
mulberry,23
mushroom,17
mussel,73
mustard,20
mutton,62
noodle,21
nut,13
nutmeat,17
nutter,22
oat,15
oate,15
oatmeal,15
oatmilk,12
oil,3
oila,3
oili,3
oill,3
oilseed,3
oilt,3
olive,28
oliven,15
onion,25
orange,28
orangel,23
oranger,24
orangexition,20
oregano,27
oroil,19
palm,4
palma,4
palme,4
palmer,4
palmera,4
palmfat,3
palmg,3
palmi,3
palmier,21
palmiett,3
palmist,2
palmiste,3
palmisti,2
palmisto,3
palmitate,2
palmkernel,2
palmol,3
palmolein,2
palmolja,2
palmudiy,2
palmuoljy,1
papaya,8
paprika,8
paprikaextrakt,12
paprikaoleoresin,12
paprikauune,12
parsley,23
passionfruit,18
pasta,20
pastry,27
pea,21
peach,21
peache,16
peaenut,26
peahut,24
peak,15
peandt,13
peantu,12
peanuc,13
peanut,16
peanuto,18
pear,21
pearl,15
pecan,38
pecannoten,52
pepper,23
peppercorn,15
peppere,13
peppermint,24
pepperoncini,27
pepperoni,17
peseed,19
pie,27
pineapple,22
pistachio,81
pistachionut,93
plum,16
plumb,15
pologlicerol,18
popcorn,13
poppy,49
poppyseed,52
pork,61
porkkana,62
portwine,21
potato,21
potatoe,27
powderedsugar,2
preservoative,9
protease,23
pteroilmonoglutamico,15
pumpkin,54
quinoa,28
raisin,24
raising,28
raisingagent,17
rapeseed,1
rapseed,26
raspberry,24
ravintosisalto,2
redfish,73
reggiano,1
repseed,14
rhamnosu,85
rice,11
ricemilk,9
rosemary,20
rowanberry,23
rye,12
saffron,87
sage,19
saipalm,12
salicorne,13
salmon,62
salt,1
saltan,1
salti,1
salty,1
sardine,81
satunated,82
sauce,25
sausage,76
saviseed,21
scone,21
scream,16
seasalt,3
seed,28
seedless,3
semisweet,28
sesame,51
shallot,22
sheabutter,29
sheanut,20
shellfish,81
shortbread,15
shortcake,21
shortening,15
shrimp,66
skimmedmilkpowder,18
skimmilk,16
slice,5
soda,25
sodaj,28
soday,17
sodiumbenzoate,14
soil,19
soild,16
sorbet,14
sorbete,17
soy,10
soya,12
soyabean,15
soyafecithin,17
soyaj,12
soyalecithin,3
soybea,19
soybead,22
soybean,23
soye,18
soyflour,9
soylecithin,10
soylesitin,27
soymilk,8
soynbean,17
soynut,25
soyoil,15
soysauce,20
soyu,23
spearmint,19
spearmintingredient,27
spice,19
spinach,19
sriracha,15
ssugar,1
stabiliment,18
starfruit,18
startch,24
starter,8
steak,66
stearate,22
steareate,25
stearin,22
stearine,30
stearn,18
stearoyl,19
stearte,26
stearyol,15
stock,21
stratham,64
strawberry,16
subcoating,8
sufficella,12
sugar,1
sugara,1
sugarcane,3
sugarl,1
sugart,1
sultana,27
sunbutter,39
sunflower,27
sunfloweroil,18
sweet,27
sweetcorn,12
sweetene,14
sweetened,24
sweetener,32
sweetmint,17
sweetnener,15
sweetner,24
sybean,27
syrup,22
tahini,14
tallow,13
tartar,21
tartaric,14
tartaricacid,17
tartarico,21
tartran,19
tartrate,5
tartraxine,24
tartrazin,21
tartrazina,25
tartrazine,27
tartrazione,26
tartrazne,22
tartrique,13
tea,22
thame,88
thamin,80
thamine,73
thyme,15
tigernut,43
tofu,18
toil,15
tomato,12
tomatoe,12
tortilla,18
triestearate,16
tristearate,25
tritearate,16
tuna,65
turmeric,25
unitedbiscuit,4
unsweeten,19
unsweetened,19
vanilla,25
vanillabean,93
vanillapowder,15
veal,76
veg,27
vege,16
vegecao,15
veget,23
vegetabiliska,19
vegetabl,20
vegetable,1
vegetablegum,12
vegetableoil,5
vegetableshortening,3
vegetaci,20
vegetai,28
vegetal,21
vegetale,13
vegetali,23
vegetara,20
vegetaritzat,24
vegetarx,21
vegetaux,13
vegetol,17
vermicelli,26
vermicellin,16
vinefruit,27
vinegar,27
vvegelale,26
vwheat,6
waffle,22
walnut,44
watermelon,16
wheat,3
wheatflour,2
wheatgrass,3
wheatlet,3
wheatmeal,3
wheatour,3
whey,5
wholemilk,7
wildberry,16
wine,35
wowbutter,15
yam,20
yeast,22
yoghurt,6
yogurt,6
yolk,1
